Time,Lambda = 0.07903225806451612 & Delta = 0.03
5.125000000000002,99.45467537563353
5.166666666666669,99.43029734771928
5.208333333333336,99.40601135404283
5.250000000000003,99.38181700533536
5.29166666666667,99.3577139142703
5.333333333333337,99.33370169545162
5.3750000000000036,99.30977996540211
5.4166666666666705,99.28594834255179
5.4583333333333375,99.26220644722638
5.500000000000004,99.23855390163585
5.541666666666671,99.21499032986317
5.583333333333338,99.19151535785292
5.625000000000005,99.16812861340014
5.666666666666672,99.1448297261393
5.708333333333339,99.12161832753317
5.750000000000006,99.09849405086193
5.791666666666673,99.07545653121231
5.83333333333334,99.05250540546677
5.875000000000007,99.02964031229286
5.916666666666674,99.00686089213244
5.958333333333341,98.98416678719131
6.000000000000008,98.96155764142864
6.041666666666675,98.93903310054651
6.083333333333342,98.91659281197965
6.125000000000009,98.89423642488521
6.166666666666676,98.87196359013248
6.208333333333343,98.84977396029286
6.25000000000001,98.8276671896298
6.291666666666677,98.8056429340888
6.333333333333344,98.78370085128752
6.375000000000011,98.76184060050602
6.416666666666678,98.7400618426769
6.458333333333345,98.71836424037569
6.5000000000000115,98.6967474578112
6.5416666666666785,98.67521116081596
6.5833333333333455,98.65375501683675
6.625000000000012,98.63237869492517
6.666666666666679,98.61108186572828
6.708333333333346,98.58986420147934
6.750000000000013,98.56872537598859
6.79166666666668,98.54766506463403
6.833333333333347,98.52668294435243
6.875000000000014,98.50577869363022
6.916666666666681,98.48495199249453
6.958333333333348,98.46420252250432
7.000000000000015,98.44352996674154
7.041666666666682,98.4229340098023
7.083333333333349,98.4024143377882
7.125000000000016,98.38197063829766
7.166666666666683,98.3616026004173
7.20833333333335,98.3413099147134
7.250000000000017,98.31047320570234
7.291666666666684,98.27975711284193
7.333333333333351,98.24916109540473
7.375000000000018,98.21868461558562
7.416666666666685,98.18832713848249
7.458333333333352,98.15808813207694
7.500000000000019,98.12796706721524
7.541666666666686,98.09796341758934
7.583333333333353,98.06807665971819
7.6250000000000195,98.03830627292899
7.6666666666666865,98.00865173933882
7.7083333333333535,97.97911254383618
7.75000000000002,97.94968817406293
7.791666666666687,97.92037812039614
7.833333333333354,97.89118187593023
7.875000000000021,97.8620989364592
7.916666666666688,97.83312880045902
7.958333333333355,97.80427096907013
8.000000000000021,97.77552494608008
8.041666666666687,97.74689023790634
8.083333333333353,97.71836635357924
