Time,Lambda = 0.07903225806451612 & Delta = 0.07
7.458333333333352,100.15526261457516
7.500000000000019,100.10090495976736
7.541666666666686,100.04678469198798
7.583333333333353,99.99290055109594
7.6250000000000195,99.93925128537289
7.6666666666666865,99.88583565145296
7.7083333333333535,99.83265241425354
7.75000000000002,99.77970034690651
7.791666666666687,99.72697823069028
7.833333333333354,99.6744848549624
7.875000000000021,99.62221901709304
7.916666666666688,99.57017952239886
7.958333333333355,99.51836518407775
8.000000000000021,99.4667748231441
8.041666666666687,99.4154072683648
8.083333333333353,99.36426135619577
8.12500000000002,99.31333593071915
8.166666666666686,99.26262984358117
8.208333333333352,99.21214195393055
8.250000000000018,99.1335717930062
8.291666666666684,99.05538367410243
8.33333333333335,98.97757523834909
8.375000000000016,98.90014414563261
8.416666666666682,98.82308807440978
8.458333333333348,98.74640472152389
8.500000000000014,98.67009180202274
8.54166666666668,98.59414704897914
8.583333333333346,98.5185682133133
8.625000000000012,98.44335306361751
8.666666666666679,98.36849938598267
8.708333333333345,98.29400498382708
8.75000000000001,98.21986767772707
8.791666666666677,98.14608530524976
8.833333333333343,98.07265572078762
8.875000000000009,97.99957679539514
8.916666666666675,97.92684641662723
8.958333333333341,97.85446248837962
9.000000000000007,97.78242293073112
9.041666666666673,97.71072567978753
9.08333333333334,97.63936868752766
9.125000000000005,97.56834992165085
9.166666666666671,97.49766736542637
9.208333333333337,97.42731901754455
9.250000000000004,97.327971408699
9.29166666666667,97.22915182325964
9.333333333333336,97.13085659433061
9.375000000000002,97.03308208817148
9.416666666666668,96.93582470382307
9.458333333333334,96.83908087273791
9.5,96.74284705841605
9.541666666666666,96.64711975604551
9.583333333333332,96.55189549214779
9.624999999999998,96.45717082422797
9.666666666666664,96.36294234042951
9.70833333333333,96.26920665919378
9.749999999999996,96.17596042892401
9.791666666666663,96.0832003276537
9.833333333333329,95.99092306271955
9.874999999999995,95.89912537043855
9.91666666666666,95.80780401578954
9.958333333333327,95.71695579209876
9.999999999999993,95.62657752072961
10.041666666666659,95.5366660507766
10.083333333333325,95.44721825876316
10.124999999999991,95.35823104834336
10.166666666666657,95.26970135000768
10.208333333333323,95.18162612079257
10.24999999999999,95.09400234399361
