Time,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.0,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.02,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.04,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.06,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.08,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.1,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.12,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.14,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.16,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.18,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.2
11.999999999999979,107.5130759789192,99.8105926736406,92.10954812682357,84.46768331760751,76.94521237669666,69.60304807285003,62.500821709364715,55.69481597017372,49.235950269822794,43.16796458739017,37.52593716050178
12.041666666666645,107.52755409213582,99.77847335114257,92.03414803107631,84.35308619442134,76.7961946864981,69.42496285099479,62.299444303899975,55.47615937491987,49.00606139099394,42.93271535090893,37.290825408679346
12.08333333333331,107.54197588097142,99.74650811756548,91.95918402377433,84.23927415958273,76.64836910944031,69.24852142159992,62.10018969283237,55.260111497166825,48.77925190567911,42.70097859734968,37.05960084558393
12.124999999999977,107.55634154900697,99.71469614221094,91.88465297765262,84.12624015069247,76.50172266539985,69.0737026405572,61.903026188914524,55.04662777034649,48.555462281862425,42.47267820993642,36.832169817181345
12.166666666666643,107.57065129921264,99.68303659967907,91.81055179399229,84.01397718816463,76.35624256019389,68.9004857229685,61.70792273059287,54.835664635525816,48.33463451058456,42.24774025392188,36.60844165266163
12.208333333333309,107.58490533394861,99.65152866982747,91.73687740229569,83.90247837401479,76.21191618225889,68.7288502355444,61.514848866632896,54.62717951308082,48.116712057536255,42.02609289894443,36.38832854658447
12.249999999999975,107.5991038549658,99.62017153773044,91.66362675996604,83.79173689066921,76.06873109940034,68.55877608919518,61.32377474119552,54.42113077532077,47.901639816486366,41.80766634467688,36.17174544656791
12.291666666666641,107.61324706340683,99.57988035742537,91.5719130869778,83.6525643723926,75.8869650378348,68.34008193504208,61.074466629920686,54.14797658980386,47.611634086934984,41.50778614647448,35.868706665590274
12.333333333333307,107.62733515980663,99.53978908311893,91.4807629621474,83.51442920773074,75.70681595881312,68.12367924585973,60.82820148730115,53.878669615063686,47.32630291764255,41.21339772647295,35.571932126579746
12.374999999999973,107.64136834409351,99.49989657616528,91.39017199114986,83.37732102728371,75.52826392404965,67.90953404379873,60.58492603809977,53.61313142993956,47.04553660711395,40.924354081405696,35.281232078027934
12.41666666666664,107.65534681558981,99.46020170574744,91.30013582376034,83.24122959756784,75.35128931972648,67.69761301744846,60.34458824152941,53.35128572840349,46.769228858100796,40.64051340668438,34.99642435418686
12.458333333333306,107.6692707730129,99.42070334881112,91.21065015330193,83.10614481879331,75.17587284991446,67.48788350557001,60.107137255694845,53.09305824871668,46.4972766465556,40.3617388685902,34.717333999733974
12.499999999999972,107.68314041447593,99.38140038999929,91.12171071610157,82.97205672268514,75.00199553015388,67.28031348130311,59.872523403256714,52.83837670541434,46.22958009659325,40.08789838834042,34.44379291650423
12.541666666666638,107.69695593748872,99.34229172158743,91.03331329095434,82.83895547034678,74.82963868118993,67.07487153683134,59.64069813826885,52.587170723988194,45.96604236114098,39.81886443731404,34.17563953079028
12.583333333333304,107.71071753895869,99.30337624341936,90.94545369859556,82.70683135016506,74.6587839228588,66.87152686848995,59.41161401414249,52.33937177814244,45.706569507976994,39.554513842769616,33.912718479827014
12.62499999999997,107.72442541519167,99.26465286284385,90.85812780118088,82.57567477575604,74.48941316812032,66.67024926230165,59.185224652692874,52.094913129505876,45.451070410876326,39.29472760343335,33.65488031618233
12.666666666666636,107.73807976189282,99.22612049465165,90.7713315017741,82.44547628395024,74.32150861723281,66.471009079926,58.96148471422585,51.85372976968856,45.19945664559855,39.03939071437737,33.40198122887203
12.708333333333302,107.75168077416751,99.18777806101349,90.68506074384247,82.31622653281684,74.15505275206631,66.27377724500857,58.74034986862391,51.61575836457744,44.95164239046817,38.7883920006466,33.15388278010545
12.749999999999968,107.76522864652229,99.14962449141834,90.59931151075959,82.18791629972574,73.9900283305505,66.07852522991685,58.521776767393064,51.3809372007706,44.7075443313127,38.541623959128664,32.91045165664903
12.791666666666634,107.77872357286569,99.11165872261257,90.51407982531559,82.06053647944674,73.82641838125336,65.88522504285011,58.30572301663318,51.149206134054936,44.4670815705373,38.29898260819423,32.67155943486983
12.8333333333333,107.7921657465092,99.0738796985396,90.42936174923454,81.9340780822849,73.66420619808719,65.6938492153109,58.09214715089685,50.92050653983693,44.230175540127426,38.06036734466589,32.437082358588455
