Time,Lambda = 0.0 & Alpha = 0.0,Lambda = 0.01 & Alpha = 0.0,Lambda = 0.02 & Alpha = 0.0,Lambda = 0.03 & Alpha = 0.0,Lambda = 0.04 & Alpha = 0.0,Lambda = 0.05 & Alpha = 0.0,Lambda = 0.06 & Alpha = 0.0,Lambda = 0.07 & Alpha = 0.0,Lambda = 0.08 & Alpha = 0.0,Lambda = 0.09 & Alpha = 0.0,Lambda = 0.1 & Alpha = 0.0
25.041666666666803,3.5553806423255474,4.6951521024404546,6.194232375000152,8.15436241395855,10.694498197844114,13.9439157215235,18.026987778964646,23.03781707937455,29.006751602193468,35.86734842501856,43.438338849033386
25.08333333333347,3.5553806423255474,4.697026106511877,6.1991082762771565,8.163812351754958,10.710617620415393,13.96933975831422,18.064775259718196,23.091124225549105,29.078255909452817,35.958493187847196,43.54862353282004
25.12500000000014,3.5553806423255474,4.698900825537829,6.203987788748185,8.1732723715284,10.726758743814374,13.994803474385689,18.102626544956564,23.144522304926475,29.14987390136694,36.049758596778,43.659007574752536
25.166666666666806,3.5553806423255474,4.700776259764706,6.208870914730353,8.18274248201945,10.742921589429274,14.020306907312365,18.140541677832953,23.19801132267242,29.221605450446265,36.1411442485324,43.76949014967891
25.208333333333474,3.5553806423255474,4.702652409438964,6.213757656541699,8.192222691971548,10.759106178645494,14.045850094613359,18.178520701246565,23.251591283195406,29.293450427532846,36.23264973707537,43.880070429261266
25.250000000000142,2.514899235847987,3.342452613308697,4.443801900604969,5.905112338921332,7.833468769701936,10.355802101775424,13.611705025663786,17.73654026734031,22.83258880329804,28.930859997828094,35.95435557691072
25.29166666666681,2.514899235847987,3.343803671453526,4.4473583266484615,5.912105343042146,7.8456127927509955,10.375382477236165,13.641593713151957,17.7800571610375,22.89311698310241,29.011174227959522,36.055762945896305
25.333333333333478,2.514899235847987,3.3451552587602986,4.450917480175127,5.919106162555921,7.857774209963485,10.394996054989706,13.67153882772391,17.823660443635543,22.95376389902046,29.09163248963579,36.15731872989431
25.375000000000146,2.514899235847987,3.346507375422563,4.454479363086558,5.92611480509316,7.869953041810105,10.414642876886493,13.701540435480657,17.86735018661853,23.01452956285744,29.172234603410214,36.25902237147119
25.416666666666814,2.514899235847987,3.3478600216339274,4.458043977285371,5.9331312782891965,7.882149308771785,10.434322984774427,13.731598602419105,17.911126461017354,23.0754139851429,29.252980387167366,36.360873308998364
25.45833333333348,2.514899235847987,3.3492131975880577,4.461611324675198,5.940155589784181,7.894363031339633,10.454036420498616,13.76171339443107,17.954989337406975,23.136417175125455,29.333869656118043,36.46287097665837
