Time,Lambda = 0.0 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.01 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.02 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.03 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.04 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.05 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.06 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.07 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.08 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.09 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.1 / Alpha = 0.0 / Delta = 0.1
2.791666666666665,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.8333333333333317,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.8749999999999982,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.9166666666666647,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.9583333333333313,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.999999999999998,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.0416666666666643,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.083333333333331,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.1249999999999973,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.166666666666664,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.2083333333333304,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.249999999999997,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
3.2916666666666634,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.33333333333333,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.3749999999999964,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.416666666666663,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.4583333333333295,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.499999999999996,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.5416666666666625,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.583333333333329,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.6249999999999956,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.666666666666662,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.7083333333333286,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.749999999999995,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.7916666666666616,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.833333333333328,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.8749999999999947,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.916666666666661,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.9583333333333277,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
3.9999999999999942,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.041666666666661,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.083333333333328,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.124999999999995,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.166666666666662,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.208333333333329,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.249999999999996,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125,73.81125
4.2916666666666625,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.3333333333333295,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.3749999999999964,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.416666666666663,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.45833333333333,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.499999999999997,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.541666666666664,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.583333333333331,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.624999999999998,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.666666666666665,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.708333333333332,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.749999999999999,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.791666666666666,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.833333333333333,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.875,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.916666666666667,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
4.958333333333334,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.000000000000001,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.041666666666668,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.083333333333335,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.125000000000002,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.166666666666669,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.208333333333336,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.250000000000003,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.29166666666667,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.333333333333337,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.3750000000000036,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.4166666666666705,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.4583333333333375,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.500000000000004,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.541666666666671,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.583333333333338,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.625000000000005,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.666666666666672,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.708333333333339,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.750000000000006,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.791666666666673,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.83333333333334,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.875000000000007,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.916666666666674,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
5.958333333333341,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.000000000000008,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.041666666666675,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.083333333333342,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.125000000000009,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.166666666666676,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.208333333333343,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.25000000000001,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.291666666666677,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.333333333333344,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.375000000000011,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.416666666666678,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.458333333333345,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.5000000000000115,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.5416666666666785,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.5833333333333455,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.625000000000012,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.666666666666679,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.708333333333346,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.750000000000013,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.79166666666668,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.833333333333347,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.875000000000014,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.916666666666681,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
6.958333333333348,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.000000000000015,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.041666666666682,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.083333333333349,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.125000000000016,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.166666666666683,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.20833333333335,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125,66.430125
7.250000000000017,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.291666666666684,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.333333333333351,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.375000000000018,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.416666666666685,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.458333333333352,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.500000000000019,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.541666666666686,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.583333333333353,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.6250000000000195,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.6666666666666865,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.7083333333333535,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.75000000000002,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.791666666666687,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.833333333333354,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.875000000000021,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.916666666666688,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
7.958333333333355,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006,59.787112500000006
