Time,Lambda = 0.0 & Delta = 0.1,Lambda = 0.01 & Delta = 0.1,Lambda = 0.02 & Delta = 0.1,Lambda = 0.03 & Delta = 0.1,Lambda = 0.04 & Delta = 0.1,Lambda = 0.05 & Delta = 0.1,Lambda = 0.06 & Delta = 0.1,Lambda = 0.07 & Delta = 0.1,Lambda = 0.08 & Delta = 0.1,Lambda = 0.09 & Delta = 0.1,Lambda = 0.1 & Delta = 0.1
35.87500000000014,99.99999999999974,47.14838885127716,32.55955225162643,25.756340562194982,21.835292110574077,19.29428669063583,17.51937104511485,16.212996157143035,15.213554220628485,14.425773448008341,13.789899574477493
35.916666666666806,99.99999999999974,47.05673221670365,32.48056314361383,25.68893257647981,21.776236713493862,19.241323033912547,17.47099485828137,16.168181931766522,15.171579192026567,14.386112065863681,13.752159094683378
35.95833333333347,99.99999999999974,46.96546921272889,32.402021681492144,25.621960051565292,21.717597445208003,19.188758679396198,17.423004892027325,16.123744206292777,15.129973683129665,14.346815405493622,13.714780272943992
36.000000000000135,99.99999999999974,46.874597316915576,32.323924097716144,25.555418833189517,21.65937000342202,19.13658924122161,17.375396687727317,16.07967844255772,15.088733063930679,14.307878731532021,13.67775825536347
36.0416666666668,99.99999999999974,46.78411402833245,32.246266666898755,25.489304819756548,21.601550144924413,19.084810397477767,17.32816585504475,16.035980174915153,15.047852781261218,14.269297389959645,13.641088274136685
36.083333333333464,99.99999999999974,46.6940168673255,32.16904570522305,25.423613961504433,21.544133684575876,19.033417889046177,17.28130807062918,15.99264500879359,15.00732835720357,14.231066806363962,13.604765645647765
36.12500000000013,99.99999999999974,46.6043033752922,32.09225756986402,25.35834225968895,21.487116494319125,18.982407518464484,17.23481907684335,15.949668619287444,14.96715538754188,14.193182484243435,13.568785768618838
36.16666666666679,99.99999999999974,46.51497111445862,32.015898658419935,25.29348576578271,21.43049450220897,18.931775148814662,17.188694680519166,15.907046749781573,14.927329540251442,14.155640003354968,13.53314412230739
36.20833333333346,99.99999999999974,46.42601766765928,31.939965408353245,25.22904058068932,21.37426369146206,18.88151670263519,17.142930751741794,15.864775210608304,14.887846554024998,14.118435018103256,13.497836264750779
36.25000000000012,99.9999999999998,46.32547989870076,31.853145812096987,25.154425969079654,21.308302009872914,18.821761677966535,17.087766060534534,15.81310305223974,14.838894857942462,14.071643050301729,13.452785232243375
36.291666666666785,99.9999999999998,46.225418238477225,31.766868657096595,25.080343787238586,21.242855028993898,18.76250686428358,17.033091680336632,15.761915427158819,14.790425320562727,14.02533362975837,13.408219387780688
36.33333333333345,99.9999999999998,46.12582932159657,31.681128905173473,25.00678841377452,21.17791683774465,18.70374613383285,16.978901271743112,15.711205766604078,14.742431118459015,13.97949965090058,13.36413131597726
36.375000000000114,99.9999999999998,46.02670981430988,31.59592158034686,24.933754306144223,21.113481615192896,18.64547345849969,16.925188604087563,15.660967619887167,14.694905556154362,13.934134146693117,13.320513751387868
36.41666666666678,99.9999999999998,45.928056414140244,31.511241767877017,24.861235999275152,21.04954362884233,18.587682907791105,16.87194755312032,15.611194651751262,14.647842063135752,13.889230285277028,13.277359574735225
36.45833333333344,99.9999999999998,45.829865849517006,31.42708461332589,24.789228104216598,20.98609723295944,18.530368646867426,16.819172098745913,15.561880639800101,14.601234190951505,13.84478136670594,13.234661809251003
36.50000000000011,99.9999999999998,45.73213487941505,31.34344532163516,24.717725306818902,20.923136866938144,18.47352493462138,16.766856322817958,15.513019471995412,14.55507561038919,13.800780819776463,13.192413617126244
36.54166666666677,99.9999999999998,45.6348602929991,31.260319156221037,24.64672236644008,20.86065705370127,18.4171461218033,16.714994406989877,15.46460514422066,14.50936010873147,13.757222198949561,13.150608296067311
36.583333333333435,99.9999999999998,45.538038909273105,31.177701438085627,24.57621411467916,20.798652398137968,18.361226649191124,16.663580630619737,15.416631757909025,14.464081587087383,13.714099181359842,13.109239275953804
36.6250000000001,99.9999999999998,45.441667576734304,31.09558754494446,24.506195454135696,20.737117585575994,18.305761045804008,16.61260936872765,15.369093517733702,14.41923405779668,13.67140556390985,13.068300115594901
36.666666666666764,99.9999999999998,45.34574317303229,31.013972910369763,24.43666135719465,20.676047380288104,18.25074392715825,16.562075090004218,15.32198472935855,14.374811641904829,13.629135260446583,13.027784499580733
36.70833333333343,99.9999999999998,45.250262604632645,30.93285302294931,24.367606864836254,20.615436624031553,18.19616999356448,16.511972354868522,15.275299797247323,14.330808566706537,13.587282299017497,12.987686235225624
36.75000000000009,99.9999999999998,45.15522280648527,30.85222342546035,24.299027085470065,20.555280234619968,18.142034028464877,16.462295813574208,15.229033222529686,14.287219163355545,13.545840819203425,12.947999249600034
